regra,n_tr,n_te,lok_tr,lok_te,ic_te,lcont_tr,lcont_te,ok_te,R_te
pavio<=65 & viradas5>=3,256,160,-0.03558489749731641,-0.05203132358397202,0.07436635193702354,-0.05373403203118768,0.0005550447583983709,0.35,
pavio<=65 & viradas5<=1,1516,957,-0.016245475860469556,-0.005799985565180033,0.031008961491220365,-0.01273679046371751,-0.001348828028622729,0.3981191222570533,
pavio<=65 & manha,1864,987,-0.01332204029607591,-0.015026267484410097,0.0304425185457733,-0.009261169414010884,8.056636108212809e-05,0.3880445795339412,
pavio<=65 & tarde,338,329,-0.0413120308258545,-0.056470022175255666,0.05166167678965641,-0.024225154669442105,-0.06355293579981491,0.3495440729483283,
pavio<=65 & cdelta_fav,2069,1306,-0.015833124698807207,-0.02403303098357313,0.0263378810573729,-0.004432851873725211,-0.010680368346498034,0.37978560490045943,
pavio<=65 & cdelta_ctr,460,245,-0.017562564617131342,0.03817174792119328,0.06250464501381027,-0.025839181690600826,0.027387722899057113,0.44081632653061226,
pavio>=115 & seq=1,2693,1668,-0.0022639874734960977,0.0021248785489972207,0.022843054116475744,-4.9749391950768446e-05,-0.0005335669649554159,0.6420863309352518,
pavio>=115 & seq>=3,849,521,-0.017544931295444693,-0.014355483989625616,0.041461410904925895,-0.0063831898190700245,-0.01870615073869293,0.6238003838771593,
pavio>=115 & seq>=5,405,250,-0.02884621146139242,-0.04437098706269155,0.0606567292246573,-0.006622131921568205,-0.04275478925324091,0.596,
pavio>=115 & rqtd>1.5,2191,1389,-0.001224684432098506,-0.01438156501179858,0.025077496952023385,0.0007289122100254343,-0.00505900790980716,0.6349892008639308,
pavio>=115 & rqtd<0.6,420,254,-0.0024834721058076222,0.02222861409742117,0.05812038153422779,0.013671365468811402,-0.010454811202911283,0.6535433070866141,
pavio>=115 & rdur>1.5,2252,1386,-0.00669087651561419,-0.015915135594531657,0.02518682782808873,-0.007312026058378629,-0.012974264681987754,0.6291486291486291,
pavio>=115 & rdur<0.6,781,527,-0.0066555946593302735,0.012408035182474257,0.04062506921122514,0.01721385862844708,0.011309227191122198,0.6451612903225806,
pavio>=115 & rtam<0.8,265,201,0.014666179765276814,-0.005959255287953124,0.0662754068544454,0.02165705042259706,-0.029829185521597083,0.6368159203980099,
pavio>=115 & part>.85,345,295,0.007077304336294884,0.0032308040805351184,0.05436675568293761,0.03334403946712317,-0.030357168469592327,0.6440677966101694,
pavio>=115 & part<.70,1208,641,0.005492388652390377,-0.0038299442905759735,0.037079642461205466,0.0015781654981495408,-0.00832424259474078,0.6287051482059283,
pavio>=115 & vel_alta,342,251,0.011661966415465963,0.0014516824402582534,0.059214694289285774,0.03136836933776337,-0.022029879437923578,0.6374501992031872,
pavio>=115 & vel_baixa,1648,998,-0.012538512255162263,-0.010745715051156773,0.02954530152461814,-0.013137043919998532,0.003067472695751058,0.6342685370741483,
pavio>=115 & acel>2,2145,1321,0.0032104291465477434,-0.0032583950720078037,0.025696027685262357,0.0015199746757038589,-0.006310426835209656,0.6411809235427707,
pavio>=115 & acel<0.5,429,271,-0.00012384227346266434,0.03624794490028397,0.0562593492093448,0.01329984818186416,-0.0008680609041153443,0.6605166051660517,
pavio>=115 & relqtd>2,1963,1222,0.002109259797799312,-0.0035212577311845576,0.02664783462020302,0.003968116113032774,-0.011693826072962812,0.6448445171849427,
pavio>=115 & relqtd<0.5,330,199,-0.0054834278804798305,0.005936987558448108,0.06725740495170213,0.003179087542050001,-0.0027973358913222267,0.6231155778894473,
pavio>=115 & tend5>0,2144,1315,-0.002011313494843747,0.0008768801713287752,0.025746711682054276,-0.0056618771459596064,-0.0051960869794909995,0.6387832699619772,
pavio>=115 & tend5forte,1130,717,-0.017850575573124465,-0.0065223540547057765,0.035065835075378506,-0.00850890975989569,-0.01121839540562229,0.6317991631799164,
pavio>=115 & contra_tend5,293,164,0.03813646249084174,0.04539772893701792,0.071670558550083,0.0261327229161829,0.08424890092568937,0.6829268292682927,
pavio>=115 & viradas5>=3,1127,715,0.013233675749118115,0.004806056791539647,0.03491280379402353,0.006874254703343212,-0.004019675993407803,0.6461538461538462,
